onset	duration	sample	trial_type	response_time	stim_file	study_1	study_2	serialpos	probepos	probe_word	resp_word	correct	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	60.04	288072	SESS_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
60.04	1.017	318091	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
61.057	2.95	318599	PROB	2.917	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[7, 2, 5]	14	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
64.007	4.6	320074	PROB	4.575	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[1, 5, 7]	13	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
68.607	2.935	322374	PROB	2.903	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[9, 9, 1]	19	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
71.542	3.501	323841	PROB	3.472	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[9, 3, 2]	16	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
75.043	4.451	325592	PROB	4.419	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[8, 8, 7]	23	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
79.494	3.808	327817	PROB	3.808	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[9, 2, 4]	15	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
83.302	38.72	329721	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
122.022	10.449	349080	ENCODING_START	n/a	n/a	n/a	n/a	0	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
132.471	0.25	354304	STUDY_ORIENT	n/a	n/a	FRUIT	DART	1	5	FRUIT	JAR	0	1	[0, 0, 0]	n/a	0	1	0	n/a	n/a	0.0	0	0	0	PAL2	1	R1003P
133.076	4.6	354607	STIM_ON	n/a	n/a	FRUIT	DART	1	5	FRUIT	JAR	0	1	[0, 0, 0]	n/a	1	1	4600	DA1	DA2	1500.0	50	230	300	PAL2	1	R1003P
133.287	4.0	354712	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	FRUIT	DART	1	5	FRUIT	JAR	0	1	[0, 0, 0]	n/a	1	1	4600	DA1	DA2	1500.0	50	230	300	PAL2	1	R1003P
