onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.010	3	0.0	n/a	n/a	n/a	160	136	6	n/a
8.025	3	rep1	very unpleasant	1.517	5	158	137	6	encoding
20.023	3	rep1	very unpleasant	1.191	5	153	138	6	encoding
32.020	3	rep1	very unpleasant	1.017	5	155	139	6	encoding
44.034	3	rep1	little unpleasant	1.418	5	151	140	6	encoding
56.015	3	rep1	little unpleasant	1.165	5	157	141	6	encoding
68.029	3	rep1	very pleasant	0.766	5	154	142	6	encoding
80.027	3	rep1	very unpleasant	1.280	5	156	143	6	encoding
92.024	3	rep1	little unpleasant	1.218	5	152	144	6	encoding
104.022	3	0.0	n/a	n/a	n/a	400	145	6	n/a
110.020	3	rep2	very unpleasant	1.014	5	151	146	6	encoding
122.035	3	rep2	very pleasant	0.670	5	154	147	6	encoding
134.032	3	rep2	very unpleasant	0.930	5	156	148	6	encoding
146.013	3	rep2	very unpleasant	1.027	5	155	149	6	encoding
158.027	3	rep2	very unpleasant	0.612	5	158	150	6	encoding
170.024	3	rep2	little unpleasant	1.190	5	152	151	6	encoding
182.022	3	rep2	very unpleasant	1.488	5	157	152	6	encoding
194.036	3	rep2	little unpleasant	1.401	5	153	153	6	encoding
206.017	3	0.0	n/a	n/a	n/a	410	154	6	n/a
212.032	3	rep3	very unpleasant	0.772	5	157	155	6	encoding
224.013	3	rep3	very unpleasant	1.271	5	151	156	6	encoding
236.027	3	rep3	very unpleasant	0.721	5	158	157	6	encoding
248.024	3	rep3	very pleasant	0.811	5	154	158	6	encoding
260.022	3	rep3	very unpleasant	0.764	5	156	159	6	encoding
272.019	3	rep3	very unpleasant	1.014	5	152	160	6	encoding
284.033	3	rep3	very unpleasant	0.800	5	155	161	6	encoding
296.014	3	rep3	little unpleasant	1.018	5	153	162	6	encoding
