onset	duration	sample	trial_type	response_time	stim_file	study_1	study_2	serialpos	probepos	probe_word	resp_word	correct	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	57.751	159038	SESS_START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
57.751	1.017	187912	START	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
58.768	6.201	188421	PROB	6.176	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[8, 9, 2]	19	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
64.969	5.968	191521	PROB	5.943	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[2, 9, 8]	19	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
70.937	3.801	194505	PROB	3.767	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[3, 3, 4]	10	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
74.738	3.27	196405	PROB	3.27	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[6, 3, 4]	13	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
78.008	38.872	198040	STOP	n/a	n/a	n/a	n/a	-999	-999	n/a	n/a	-999	-1	[-999, -999, -999]	n/a	0	-999	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
116.88	10.451	217475	ENCODING_START	n/a	n/a	n/a	n/a	0	-999	n/a	n/a	-999	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
127.331	0.25	222701	STUDY_ORIENT	n/a	n/a	GLASS	JUDGE	1	1	JUDGE	n/a	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
128.315	4.0	223193	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	GLASS	JUDGE	1	1	JUDGE	n/a	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
133.349	0.25	225709	STUDY_ORIENT	n/a	n/a	OWL	STEAK	2	2	OWL	STEAK	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
134.332	4.0	226201	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	OWL	STEAK	2	2	OWL	STEAK	1	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
139.35	0.25	228710	STUDY_ORIENT	n/a	n/a	FAN	COUCH	3	3	COUCH	SUIT	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
140.284	4.0	229177	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	FAN	COUCH	3	3	COUCH	SUIT	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
145.318	0.25	231694	STUDY_ORIENT	n/a	n/a	PARK	SPRING	4	6	PARK	n/a	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	PAL2	0	R1003P
